,address,lon,lat,full_address_google,eircode,useful_address
955,"Lockhart & Son, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
956,"SOS Heating & Plumbing Ltd, County Cork, Ireland",-8.5831059,52.0167102,"Rathduff, Grenagh, Co. Cork, Ireland",,True
957,"Don Moloney Heating & Plumbing, County Tipperary, Ireland",-7.9260678,52.4107552,"Knockillion, Knockgraffon, Cloghabreedy, Cahir, Co. Tipperary, Ireland",,True
958,"Colin Lynskey Plumbing And Heating, County Galway, Ireland",-8.4081355,53.5231383,"Ballinacor, Newbridge, Co. Galway, H53 E7F9, Ireland",H53 E7F9,True
959,"HS Plumbing & Heating, County Tipperary, Ireland",-8.1618514,52.47378940000001,"Co. Tipperary, Ireland",,False
960,"O W Construction Ltd, County Mayo, Ireland",-9.4289369,54.0152604,"Mayo, Co. Mayo, Ireland",,False
961,"Conway Mechanical, County Limerick, Ireland",-8.637552099999999,52.6361751,"16 Oak Ln, Kilteragh, Limerick, V94 EK6D, Ireland",V94 EK6D,True
962,"Des Daly Heating & Plumbing Ltd, County Dublin 9, Ireland",-6.3275681,53.3033166,"56 Willington Cres, Templeogue, Dublin, D6W FX20, Ireland",D6W FX20,True
963,"Bill Kirwan, County Laois, Ireland",-7.332300699999999,52.994295,"Laois, Co. Laois, Ireland",,False
964,"John H Lane Building Contractor Ltd, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
965,"John Cardiff T/A Cardiff Construction, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
966,"Tormey Construction Ltd, County Cavan, Ireland",-7.2996623,53.9765424,"Cavan, Co. Cavan, Ireland",,False
967,"DML Plumbing and Heating Ltd, County Leitrim, Ireland",-8.0020133,54.1246909,"Leitrim, Co. Leitrim, Ireland",,False
968,"Niall Gaffney Heating & Plumbing, County Meath, Ireland",-6.36971,53.66053,"Gafney Little, Gaffney, Co. Meath, Ireland",,True
969,"MAK Building Services Ltd, County Clare, Ireland",-8.9811351,52.904532,"Clare, Co. Clare, Ireland",,False
970,"Ray Finlay Limited, County Offaly, Ireland",-7.7122229,53.2356871,"Offaly, Co. Offaly, Ireland",,False
971,"C & B Cormican Building Contractors Ltd, County Tipperary, Ireland",-8.197556,52.864297,"Coolbaun, Glenbower, Co. Tipperary, Ireland",,True
972,"C.R. Plumbing & Heating Services, County Meath, Ireland",-6.785226499999999,53.521242,"Laracor, Trim, Co. Meath, Ireland",,True
973,"Original Dawn Ltd T/A T.C Plumbing & Heating, County Dublin 6W, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
974,"Howard Heating And Plumbing Services, County Galway, Ireland",-8.8534113,53.3564509,"Galway, Co. Galway, Ireland",,False
975,"Eurorend Insulation And Plastering Services, County Kerry, Ireland",-9.5668632,52.15446069999999,"Kerry, Co. Kerry, Ireland",,False
976,"D Carry Construction, County Meath, Ireland",-6.951883,53.722193,"Rockdrum House Drumbaragh, Drumbaragh, Kells, Co. Meath, A82 W3X7, Ireland",A82 W3X7,True
977,"Cellulose Insulation Ltd, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
978,"Heat Tech Heating & Plumbing Ltd, County Limerick, Ireland",-8.490489199999999,52.7322998,"Derrylusk, Castleconnell, Co. Limerick, Ireland",,True
979,"DS Gas Oil Services, County Meath, Ireland",-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False
980,"Cooney Brothers Heating And Plumbers Ltd, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
